ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
1,Trach,1256,346,506,-754,23,2456.7126,Count,High,6/7/2022 11:48,180,0,1,One
2,Trach,1158,680,408,-420,23,2456.7126,Count,High,6/7/2022 11:48,180,0,1,One
3,Trach,473,727,-277,-373,23,2456.7126,Count,High,6/7/2022 11:48,180,0,1,One
4,Trach,962,766,212,-334,23,2456.7126,Count,High,6/7/2022 11:48,180,0,1,One
1,Trach,1268,345,518,-755,24,2566.0346,Count,High,6/7/2022 11:48,290,0,1,One
2,Trach,1175,708,425,-392,24,2566.0346,Count,High,6/7/2022 11:48,290,0,1,One
3,Trach,469,731,-281,-369,24,2566.0346,Count,High,6/7/2022 11:48,290,0,1,One
4,Trach,963,766,213,-334,24,2566.0346,Count,High,6/7/2022 11:48,290,0,1,One
1,Trach,1282,347,532,-753,25,2675.2596,Count,High,6/7/2022 11:48,399,0,1,One
2,Trach,1189,731,439,-369,25,2675.2596,Count,High,6/7/2022 11:48,399,0,1,One
3,Trach,464,737,-286,-363,25,2675.2596,Count,High,6/7/2022 11:48,399,0,1,One
4,Trach,961,767,211,-333,25,2675.2596,Count,High,6/7/2022 11:48,399,0,1,One
1,Trach,1294,353,544,-747,26,2784.5063,Count,High,6/7/2022 11:48,508,0,1,One
2,Trach,462,738,-288,-362,26,2784.5063,Count,High,6/7/2022 11:48,508,0,1,One
3,Trach,1211,747,461,-353,26,2784.5063,Count,High,6/7/2022 11:48,508,0,1,One
4,Trach,962,766,212,-334,26,2784.5063,Count,High,6/7/2022 11:48,508,0,1,One
1,Trach,1309,353,559,-747,27,2894.1154,Count,High,6/7/2022 11:48,618,0,1,One
2,Trach,459,742,-291,-358,27,2894.1154,Count,High,6/7/2022 11:48,618,0,1,One
3,Trach,1240,759,490,-341,27,2894.1154,Count,High,6/7/2022 11:48,618,0,1,One
4,Trach,960,765,210,-335,27,2894.1154,Count,High,6/7/2022 11:48,618,0,1,One
1,Trach,1325,362,575,-738,28,3003.4359,Count,High,6/7/2022 11:48,727,0,1,One
2,Trach,453,746,-297,-354,28,3003.4359,Count,High,6/7/2022 11:48,727,0,1,One
3,Trach,960,765,210,-335,28,3003.4359,Count,High,6/7/2022 11:48,727,0,1,One
4,Trach,1261,768,511,-332,28,3003.4359,Count,High,6/7/2022 11:48,727,0,1,One
1,Trach,1339,366,589,-734,29,3112.5541,Count,High,6/7/2022 11:48,836,0,1,One
2,Trach,443,755,-307,-345,29,3112.5541,Count,High,6/7/2022 11:48,836,0,1,One
3,Trach,957,764,207,-336,29,3112.5541,Count,High,6/7/2022 11:48,836,0,1,One
4,Trach,1276,769,526,-331,29,3112.5541,Count,High,6/7/2022 11:48,836,0,1,One
1,Trach,1346,370,596,-730,30,3222.0975,Count,High,6/7/2022 11:48,946,0,1,One
2,Trach,436,762,-314,-338,30,3222.0975,Count,High,6/7/2022 11:48,946,0,1,One
3,Trach,955,767,205,-333,30,3222.0975,Count,High,6/7/2022 11:48,946,0,1,One
5,Trach,1301,775,551,-325,30,3222.0975,Count,High,6/7/2022 11:48,946,0,1,One
1,Trach,1350,379,600,-721,31,3331.5178,Count,High,6/7/2022 11:48,55,0,1,One
2,Trach,430,768,-320,-332,31,3331.5178,Count,High,6/7/2022 11:48,55,0,1,One
4,Trach,953,773,203,-327,31,3331.5178,Count,High,6/7/2022 11:48,55,0,1,One
5,Trach,1316,775,566,-325,31,3331.5178,Count,High,6/7/2022 11:48,55,0,1,One
1,Trach,1351,386,601,-714,32,3440.8415,Count,High,6/7/2022 11:48,164,0,1,One
2,Trach,427,769,-323,-331,32,3440.8415,Count,High,6/7/2022 11:48,164,0,1,One
3,Trach,706,760,-44,-340,32,3440.8415,Count,High,6/7/2022 11:48,164,0,1,One
4,Trach,1330,771,580,-329,32,3440.8415,Count,High,6/7/2022 11:48,164,0,1,One
5,Trach,950,778,200,-322,32,3440.8415,Count,High,6/7/2022 11:48,164,0,1,One
1,Trach,1353,392,603,-708,33,3549.9512,Count,High,6/7/2022 11:48,274,0,1,One
2,Trach,426,770,-324,-330,33,3549.9512,Count,High,6/7/2022 11:48,274,0,1,One
