BlobID,ROI,Frame,BType,Area,ScaledArea,CentroidX,CentroidY,BRect,Compactness,Roughness,Elongation,Perimeter,ConvexHullPerimeter,ConvexHullArea,Length,Breadth,PixelAvg,PixelStdDev,NObjects,Time,Millisec,
0,Right,76123,One,602.5,0,1337,705,"(1322,685,1354,726)",1.875222166,1.071906734,10.15858382,119.154328,111.1610966,659,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:12,478,0
0,Right,76123,One,593.5,0,882,302,"(871,282,893,323)",1.545313873,1.046290267,6.092552675,107.3553385,102.6056935,631,41.10932541,19.78769684,0,0,1,1/13/2022 15:06:12,478,0
0,Right,76124,One,616,0,1337,705,"(1322,685,1354,727)",1.87792152,1.07505752,10.158932,120.5685415,112.150782,673.5,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:12,571,0
0,Right,76124,One,605,0,882,301,"(871,281,893,323)",1.589846203,1.051457064,6.35667991,109.9411249,104.5607364,648,43.14554977,19.21938133,0,0,1,1/13/2022 15:06:12,571,0
0,Right,76125,One,613.5,0,1337,705,"(1322,685,1354,727)",1.867296267,1.070872187,10.20944581,119.9827551,112.0420873,669,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:12,665,0
0,Right,76125,One,594,0,882,302,"(871,282,893,323)",1.560908949,1.047674448,6.011494218,107.9411249,103.0292617,630,41.10932541,19.78769684,0,0,1,1/13/2022 15:06:12,665,0
0,Right,76126,One,607,0,1337,705,"(1322,685,1354,726)",1.916628796,1.085102096,9.959063161,120.9116874,111.428858,667,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:12,759,0
0,Right,76126,One,600,0,882,301,"(871,281,893,323)",1.603094921,1.053833429,6.298481803,109.9411249,104.3249549,637.5,43.34166718,19.21938133,0,0,1,1/13/2022 15:06:12,759,0
0,Right,76127,One,595,0,1338,705,"(1322,685,1354,726)",1.955283495,1.094535548,10.23893601,120.9116874,110.4684883,658,48.53626251,16.36365509,0,0,1,1/13/2022 15:06:12,852,0
0,Right,76127,One,600.5,0,882,302,"(871,282,893,323)",1.560817088,1.046884129,6.13100211,108.5269114,103.6665934,637,41.2627182,19.78769684,0,0,1,1/13/2022 15:06:12,852,0
0,Right,76128,One,595.5,0,1338,705,"(1322,685,1354,726)",1.934757836,1.088517626,10.11363482,120.3259009,110.541068,654.5,48.53626251,16.36365509,0,0,1,1/13/2022 15:06:12,946,0
0,Right,76128,One,599,0,882,301,"(871,281,893,323)",1.571730182,1.044668618,6.366970623,108.769552,104.118713,637,43.49455643,19.0898819,0,0,1,1/13/2022 15:06:12,946,0
0,Right,76129,One,606,0,1337,705,"(1322,685,1354,727)",1.908910324,1.080520487,10.23891108,120.5685415,111.5837626,665.5,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:13,40,0
0,Right,76129,One,591.5,0,882,302,"(871,282,893,323)",1.550538941,1.049757247,6.004845479,107.3553385,102.2668229,626,41.968853,19.21938133,0,0,1,1/13/2022 15:06:13,40,0
0,Right,76130,One,605.5,0,1337,705,"(1322,685,1354,726)",1.902804775,1.079622328,10.04981735,120.3259009,111.4518455,666.5,49.36831665,16.36365509,0,0,1,1/13/2022 15:06:13,134,0
0,Right,76130,One,600,0,882,301,"(871,281,893,323)",1.569110632,1.046734359,6.232662182,108.769552,103.9132336,635.5,43.14554977,19.21938133,0,0,1,1/13/2022 15:06:13,134,0
0,Right,76131,One,609.5,0,1337,705,"(1322,685,1354,727)",1.879550878,1.072597319,10.48846393,119.9827551,111.8618823,665,49.64566422,16.36365509,0,0,1,1/13/2022 15:06:13,227,0
0,Right,76131,One,599.5,0,882,301,"(871,281,893,323)",1.587380082,1.050396271,6.302722039,109.3553385,104.1086507,639,43.34166718,19.21938133,0,0,1,1/13/2022 15:06:13,227,0
0,Right,76132,One,612.5,0,1337,705,"(1322,685,1354,727)",1.870344914,1.073312992,10.284416,119.9827551,111.787294,668,49.64566422,16.36365509,0,0,1,1/13/2022 15:06:13,321,0
0,Right,76132,One,596,0,882,302,"(871,282,893,323)",1.555671,1.043318565,6.191797347,107.9411249,103.4594116,630.5,41.2627182,19.78769684,0,0,1,1/13/2022 15:06:13,321,0
0,Right,76133,One,612.5,0,1337,705,"(1322,685,1354,727)",1.870344914,1.071342372,10.35594172,119.9827551,111.9929149,665.5,49.64566422,16.36365509,0,0,1,1/13/2022 15:06:13,415,0
0,Right,76133,One,589.5,0,882,302,"(871,282,893,323)",1.555799464,1.047926848,6.199939215,107.3553385,102.4454509,620.5,42.44373322,18.91777802,0,0,1,1/13/2022 15:06:13,415,0
0,Right,76134,One,613,0,1337,705,"(1322,685,1354,727)",1.887112,1.077232077,10.3371835,120.5685415,111.9243885,667.5,49.64566422,16.36365509,0,0,1,1/13/2022 15:06:13,509,0
0,Right,76134,One,593,0,882,302,"(871,282,893,323)",1.529784596,1.038816816,6.187423776,106.769552,102.7799611,623,41.10932541,19.78769684,0,0,1,1/13/2022 15:06:13,509,0
0,Right,76135,One,607.5,0,1337,705,"(1322,685,1354,727)",1.922745129,1.083038158,10.38765677,121.154328,111.8652442,662,49.64566422,16.36365509,0,0,1,1/13/2022 15:06:13,602,0
0,Right,76135,One,603.5,0,882,302,"(871,281,894,323)",1.60084057,1.057496316,6.41623065,110.1837655,104.1930491,648,43.14554977,19.21938133,0,0,1,1/13/2022 15:06:13,602,0
0,Right,76136,One,604.5,0,1337,705,"(1322,685,1354,726)",1.832444785,1.065724038,10.03908679,117.9827551,110.706666,654,48.81361008,16.36365509,0,0,1,1/13/2022 15:06:13,696,0
0,Right,76136,One,589.5,0,882,302,"(871,282,893,323)",1.555799464,1.049493832,6.041275206,107.3553385,102.2924911,626.5,41.968853,19.21938133,0,0,1,1/13/2022 15:06:13,696,0
0,Right,76137,One,595.5,0,1338,705,"(1322,685,1354,726)",1.972617432,1.096475142,10.38620259,121.4974738,110.8073218,655.5,48.81361008,16.36365509,0,0,1,1/13/2022 15:06:13,790,0
0,Right,76137,One,593,0,882,302,"(871,282,893,323)",1.563541173,1.049203055,6.098070406,107.9411249,102.8791561,628.5,41.18602371,19.78769684,0,0,1,1/13/2022 15:06:13,790,0
0,Right,76138,One,600,0,1337,706,"(1322,686,1354,727)",1.901595861,1.083184759,10.04321275,119.7401145,110.5444971,660.5,48.25891495,16.36365509,0,0,1,1/13/2022 15:06:13,884,0
0,Right,76138,One,600.5,0,882,302,"(871,282,894,323)",1.550962552,1.052130565,6.097893332,108.1837655,102.8235174,643.5,42.3610878,19.21938133,0,0,1,1/13/2022 15:06:13,884,0
0,Right,76139,One,607.5,0,1337,705,"(1322,685,1354,727)",1.885738699,1.074872723,10.3474839,119.9827551,111.6250813,662,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:13,977,0
0,Right,76139,One,608.5,0,882,301,"(871,280,893,323)",1.621629506,1.052034429,6.545815006,111.3553385,105.8476181,649,44.32224655,19.21938133,0,0,1,1/13/2022 15:06:13,977,0
0,Right,76140,One,611,0,1338,705,"(1322,685,1354,726)",1.867360911,1.076131286,9.915092848,119.7401145,111.269058,662,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:14,71,0
0,Right,76140,One,594,0,882,302,"(871,282,893,323)",1.560908949,1.044136663,6.2060086,107.9411249,103.3783495,627.5,41.2627182,19.78769684,0,0,1,1/13/2022 15:06:14,71,0
0,Right,76141,One,600,0,1337,705,"(1322,686,1354,726)",1.875374339,1.082195455,9.530102469,118.9116874,109.880047,656.5,47.98156357,16.36365509,0,0,1,1/13/2022 15:06:14,165,0
0,Right,76141,One,597.5,0,882,302,"(871,282,893,323)",1.534968676,1.037343003,6.200954147,107.3553385,103.4906855,630,41.2627182,19.78769684,0,0,1,1/13/2022 15:06:14,165,0
0,Right,76142,One,594.5,0,1337,705,"(1322,685,1353,726)",1.91141824,1.085261742,9.887466323,119.4974738,110.1093582,651.5,48.17577744,16.99750137,0,0,1,1/13/2022 15:06:14,258,0
0,Right,76142,One,599,0,882,301,"(871,281,893,323)",1.571730182,1.045351175,6.340902731,108.769552,104.0507292,636.5,43.34166718,19.21938133,0,0,1,1/13/2022 15:06:14,258,0
0,Right,76143,One,596.5,0,1337,705,"(1322,685,1353,726)",1.905009461,1.084022575,9.903878733,119.4974738,110.2352263,648.5,48.70559692,16.63536263,0,0,1,1/13/2022 15:06:14,352,0
0,Right,76143,One,600,0,882,301,"(871,281,893,323)",1.569110632,1.045325925,6.326143757,108.769552,104.0532426,636.5,43.34166718,19.21938133,0,0,1,1/13/2022 15:06:14,352,0
0,Right,76144,One,586,0,1336,705,"(1322,685,1352,726)",1.856129945,1.069790053,9.967479094,116.9116874,109.2847022,631,47.9119072,16.00596809,0,0,1,1/13/2022 15:06:14,446,0
0,Right,76144,One,607.5,0,882,301,"(871,280,893,323)",1.624298855,1.051754452,6.489851696,111.3553385,105.8757948,647.5,43.18013,19.78769684,0,0,1,1/13/2022 15:06:14,446,0
0,Right,76145,One,592,0,1337,704,"(1322,685,1353,726)",1.86344825,1.070791644,10.16362464,117.7401145,109.9561386,637.5,48.44190216,16.00596809,0,0,1,1/13/2022 15:06:14,540,0
0,Right,76145,One,598.5,0,882,301,"(871,281,893,323)",1.590032346,1.051024368,6.435065309,109.3553385,104.0464349,634.5,43.49455643,19.0898819,0,0,1,1/13/2022 15:06:14,540,0
0,Right,76146,One,593,0,1337,705,"(1322,685,1353,726)",1.897511979,1.081577569,10.09466181,118.9116874,109.9428195,639,48.53627396,16.36365509,0,0,1,1/13/2022 15:06:14,633,0
0,Right,76146,One,601.5,0,882,301,"(871,281,893,323)",1.58210201,1.046847436,6.355058204,109.3553385,104.4615812,640,43.34166718,19.21938133,0,0,1,1/13/2022 15:06:14,633,0
0,Right,76147,One,595,0,1337,705,"(1322,685,1353,726)",1.928582011,1.089373979,9.995682553,120.0832603,110.231438,646.5,48.58045197,16.5484848,0,0,1,1/13/2022 15:06:14,727,0
0,Right,76147,One,601.5,0,882,302,"(871,282,894,323)",1.54838406,1.05072583,6.156893917,108.1837655,102.9609841,641.5,42.30144119,19.0898819,0,0,1,1/13/2022 15:06:14,727,0
0,Right,76148,One,588,0,1337,705,"(1322,685,1353,726)",1.989806875,1.094397492,10.46236888,121.2548332,110.7959714,646,49.09096909,16.36365509,0,0,1,1/13/2022 15:06:14,820,0
0,Right,76148,One,589,0,882,302,"(871,283,893,323)",1.516365872,1.041482548,5.826026095,105.9411249,101.7214596,621,40.18896866,19.78769684,0,0,1,1/13/2022 15:06:14,820,0
0,Right,76149,One,594.5,0,1337,705,"(1322,685,1353,726)",1.91141824,1.077927989,10.08462329,119.4974738,110.8584943,649,49.09096909,16.36365509,0,0,1,1/13/2022 15:06:14,914,0
0,Right,76149,One,592,0,882,302,"(871,282,893,323)",1.532368691,1.043302076,6.107521473,106.769552,102.3380998,626.5,42.1649704,19.21938133,0,0,1,1/13/2022 15:06:14,914,0
0,Right,76150,One,596,0,1337,704,"(1322,685,1353,726)",1.887960744,1.072093049,10.13534552,118.9116874,110.9154541,644.5,49.09096909,16.36365509,0,0,1,1/13/2022 15:06:15,8,0
0,Right,76150,One,593.5,0,882,302,"(871,282,893,323)",1.545313873,1.048681379,6.029910991,107.3553385,102.3717409,627.5,42.1649704,19.21938133,0,0,1,1/13/2022 15:06:15,8,0
0,Right,76151,One,584.5,0,1336,705,"(1322,685,1352,726)",1.917257865,1.081697685,9.86702087,118.6690468,109.7062963,646.5,48.53627396,17.19570541,0,0,1,1/13/2022 15:06:15,101,0
0,Right,76151,One,593.5,0,882,302,"(871,282,893,323)",1.579226051,1.054845007,6.074406096,108.5269114,102.8842254,630,42.51837158,19.0898819,0,0,1,1/13/2022 15:06:15,101,0
0,Right,76152,One,602.5,0,1337,704,"(1322,684,1353,726)",1.912279322,1.082291563,10.35773495,120.3259009,111.1769739,664,48.72621536,17.17911339,0,0,1,1/13/2022 15:06:15,195,0
0,Right,76152,One,590.5,0,882,302,"(872,281,893,323)",1.587249214,1.045519122,6.339548044,108.5269114,103.8019383,626.5,42.10637665,19.17412567,0,0,1,1/13/2022 15:06:15,195,0
0,Right,76153,One,591.5,0,1337,705,"(1322,685,1353,726)",1.921112668,1.079324175,10.30783705,119.4974738,110.7150906,647,49.15391541,16.3027153,0,0,1,1/13/2022 15:06:15,289,0
0,Right,76153,One,597.5,0,882,301,"(871,281,893,323)",1.592693488,1.04853534,6.412370715,109.3553385,104.2934217,633,43.41387558,18.91777802,0,0,1,1/13/2022 15:06:15,289,0
0,Right,76154,One,594,0,1337,705,"(1322,685,1353,726)",1.857174014,1.065804537,10.07773353,117.7401145,110.4706448,642,49.15391541,16.3027153,0,0,1,1/13/2022 15:06:15,382,0
0,Right,76154,One,589.5,0,882,302,"(871,282,893,323)",1.555799464,1.046513032,6.142086292,107.3553385,102.5838524,624,41.10932541,19.78769684,0,0,1,1/13/2022 15:06:15,382,0
0,Right,76155,One,588.5,0,1337,705,"(1322,685,1354,726)",1.996081021,1.100759151,10.61065188,121.4974738,110.3760743,648,48.58045197,16.3027153,0,0,1,1/13/2022 15:06:15,476,0
0,Right,76155,One,585.5,0,882,302,"(871,283,893,323)",1.54234634,1.048066418,5.880821628,106.5269114,101.6413746,618,40.18896866,19.78769684,0,0,1,1/13/2022 15:06:15,476,0
0,Right,76156,One,599.5,0,1337,704,"(1322,685,1353,726)",1.858491538,1.073290866,10.00592081,118.3259009,110.2458845,647,48.5039711,16.51734161,0,0,1,1/13/2022 15:06:15,570,0
0,Right,76156,One,588,0,882,302,"(871,282,893,323)",1.576836591,1.052130711,6.079320749,107.9411249,102.5928849,627.5,41.75734329,19.23468208,0,0,1,1/13/2022 15:06:15,570,0
