"Frame","Distance","Distance_mm","Time","ElapsedTimeMin","DiffTimeMin","IsInteracting"
455,0,0,0.758333333333333,0.736666666666667,0.00166666666666671,TRUE
456,0,0,0.76,0.738333333333333,0.00166666666666671,TRUE
457,0,0,0.761666666666667,0.74,0.00166666666666671,TRUE
458,0,0,0.763333333333333,0.741666666666667,0.00166666666666659,TRUE
459,0,0,0.765,0.743333333333333,0.00166666666666671,TRUE
460,0,0,0.766666666666667,0.745,0.00166666666666671,TRUE
483,0,0,0.805,0.783333333333333,0.0383333333333332,TRUE
484,0,0,0.806666666666667,0.785,0.00166666666666671,TRUE
485,0,0,0.808333333333333,0.786666666666667,0.00166666666666671,TRUE
486,0,0,0.81,0.788333333333333,0.00166666666666671,TRUE
487,0,0,0.811666666666667,0.79,0.00166666666666671,TRUE
488,2.23606797749979,22.3606797749979,0.813333333333333,0.791666666666667,0.00166666666666648,FALSE
489,8.06225774829855,80.6225774829855,0.815,0.793333333333333,0.00166666666666671,FALSE
554,20.5182845286832,205.182845286832,0.923333333333333,0.901666666666667,0.108333333333333,FALSE
555,20,200,0.925,0.903333333333333,0.00166666666666671,FALSE
556,18.8679622641132,188.679622641132,0.926666666666667,0.905,0.00166666666666659,FALSE
557,17,170,0.928333333333333,0.906666666666667,0.00166666666666671,FALSE
558,17.0880074906351,170.880074906351,0.93,0.908333333333333,0.00166666666666659,FALSE
